,id,tcgPlayerId,setId,setName,name,cardNumber,totalSetNumber,rarity,cardType,hp,stage,retreatCost,artist,tcgPlayerUrl,imageUrl,needsDetailedScrape,dataCompleteness,lastScrapedAt,createdAt,updatedAt,weakness.type,weakness.value,resistance.type,resistance.value,prices.market,prices.listings,prices.primaryCondition,prices.conditions.Near Mint.price,prices.conditions.Near Mint.listings,prices.conditions.Near Mint.priceString,prices.conditions.Near Mint.lastUpdated,prices.conditions.Lightly Played.price,prices.conditions.Lightly Played.listings,prices.conditions.Lightly Played.priceString,prices.conditions.Lightly Played.lastUpdated,prices.conditions.Lightly Played.dataPoints,prices.conditions.Lightly Played.historyPoints,prices.conditions.Lightly Played.priceWasCorrected,prices.lastUpdated,prices.priceWasCorrected,prices.conditions.Damaged.price,prices.conditions.Damaged.listings,prices.conditions.Damaged.priceString,prices.conditions.Damaged.lastUpdated,prices.conditions.Damaged.dataPoints,prices.conditions.Damaged.historyPoints,prices.conditions.Damaged.priceWasCorrected,prices.conditions.Moderately Played.price,prices.conditions.Moderately Played.listings,prices.conditions.Moderately Played.priceString,prices.conditions.Near Mint.dataPoints,prices.conditions.Near Mint.historyPoints,prices.conditions.Near Mint.priceWasCorrected,prices.conditions.Moderately Played.lastUpdated,prices.conditions.Moderately Played.dataPoints,prices.conditions.Moderately Played.historyPoints,prices.conditions.Moderately Played.priceWasCorrected,prices.conditions.Heavily Played.price,prices.conditions.Heavily Played.listings,prices.conditions.Heavily Played.priceString,prices.conditions.Heavily Played.lastUpdated,prices.conditions.Heavily Played.dataPoints,prices.conditions.Heavily Played.historyPoints,prices.conditions.Heavily Played.priceWasCorrected,prices.variants.Holofoil.Near Mint.price,prices.variants.Holofoil.Near Mint.listings,prices.variants.Holofoil.Near Mint.priceString,prices.variants.Holofoil.Lightly Played.price,prices.variants.Holofoil.Lightly Played.listings,prices.variants.Holofoil.Lightly Played.priceString,prices.variants.Holofoil.Moderately Played.price,prices.variants.Holofoil.Moderately Played.listings,prices.variants.Holofoil.Moderately Played.priceString,prices.variants.Holofoil.Damaged.price,prices.variants.Holofoil.Damaged.listings,prices.variants.Holofoil.Damaged.priceString,prices.variants.Holofoil.Heavily Played.price,prices.variants.Holofoil.Heavily Played.listings,prices.variants.Holofoil.Heavily Played.priceString,prices.variants.Reverse Holofoil.Near Mint.price,prices.variants.Reverse Holofoil.Near Mint.listings,prices.variants.Reverse Holofoil.Near Mint.priceString,prices.variants.Reverse Holofoil.Lightly Played.price,prices.variants.Reverse Holofoil.Lightly Played.listings,prices.variants.Reverse Holofoil.Lightly Played.priceString,prices.variants.Normal.Lightly Played.price,prices.variants.Normal.Lightly Played.listings,prices.variants.Normal.Lightly Played.priceString,prices.variants.Normal.Near Mint.price,prices.variants.Normal.Near Mint.listings,prices.variants.Normal.Near Mint.priceString,prices.variants.Normal.Damaged.price,prices.variants.Normal.Damaged.listings,prices.variants.Normal.Damaged.priceString,prices.variants.Normal.Moderately Played.price,prices.variants.Normal.Moderately Played.listings,prices.variants.Normal.Moderately Played.priceString,prices.variants.Reverse Holofoil.Moderately Played.price,prices.variants.Reverse Holofoil.Moderately Played.listings,prices.variants.Reverse Holofoil.Moderately Played.priceString,prices.variants.Reverse Holofoil.Damaged.price,prices.variants.Reverse Holofoil.Damaged.listings,prices.variants.Reverse Holofoil.Damaged.priceString,prices.variants.Normal.Heavily Played.price,prices.variants.Normal.Heavily Played.listings,prices.variants.Normal.Heavily Played.priceString,prices.variants.Reverse Holofoil.Heavily Played.price,prices.variants.Reverse Holofoil.Heavily Played.listings,prices.variants.Reverse Holofoil.Heavily Played.priceString
0,68b2e9b2b594c9577ba43240,623472,68af371b5bce97006df9f245,Journey Together,Alolan Graveler,45.0,159.0,Common,Lightning,100.0,Stage 1,3.0,,https://www.tcgplayer.com/product/623472/pokemon-sv09-journey-together-alolan-graveler,https://tcgplayer-cdn.tcgplayer.com/product/623472_in_600x600.jpg,False,100,2025-10-11T02:04:19.969Z,2025-08-30T12:08:18.554Z,2025-10-11T02:04:20.014Z,Fx,2.0,,,0.07,1293.0,Near Mint,0.07,1.0,$0.07,2025-10-11T00:00:00.000Z,0.08,1.0,$0.08,2025-10-11T02:04:19.851Z,78.0,54.0,True,2025-10-11T02:04:19.851Z,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,68b2ea2db594c9577ba43818,562158,68af37215bce97006df9f257,Shrouded Fable,Basic Fighting Energy,,,Common,Basic Energy,,,,,https://www.tcgplayer.com/product/562158/pokemon-sv-shrouded-fable-basic-fighting-energy,https://tcgplayer-cdn.tcgplayer.com/product/562158_in_600x600.jpg,False,90,2025-10-09T05:02:32.762Z,2025-08-30T12:10:21.173Z,2025-10-09T05:02:32.803Z,,,,,0.2,427.0,Near Mint,0.2,1.0,$0.20,2025-10-09T00:00:00.000Z,0.28,1.0,$0.28,2025-10-09T05:02:32.656Z,78.0,78.0,,2025-10-09T05:02:32.656Z,False,,,,,,,,0.18,1.0,$0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,68af82c5c4f780b5153e6428,550260,68af37225bce97006df9f25d,Twilight Masquerade,Bloodmoon Ursaluna ex - 216/167,216.0,167.0,Special Illustration Rare,Colorless,260.0,Basic,3.0,,https://www.tcgplayer.com/product/550260/pokemon-sv06-twilight-masquerade-bloodmoon-ursaluna-ex---216-167,https://tcgplayer-cdn.tcgplayer.com/product/550260_in_600x600.jpg,False,100,2025-10-10T12:19:37.082Z,2025-08-27T22:12:21.852Z,2025-10-10T12:19:37.126Z,Fx,2.0,,,39.67,68.0,Near Mint,39.67,1.0,$39.67,2025-10-28T00:00:00.000Z,38.44,1.0,$38.44,2025-10-10T12:19:36.936Z,78.0,78.0,,2025-10-10T12:19:36.936Z,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,68af8391c4f780b5153e6bce,523895,68af37245bce97006df9f269,Paradox Rift,Porygon-Z - 214/182,214.0,182.0,Illustration Rare,Colorless,150.0,Stage 2,2.0,,https://www.tcgplayer.com/product/523895/pokemon-sv04-paradox-rift-porygon-z---214-182,https://tcgplayer-cdn.tcgplayer.com/product/523895_in_600x600.jpg,False,100,2025-10-10T16:43:05.580Z,2025-08-27T22:15:45.202Z,2025-10-10T16:43:05.620Z,Fx,2.0,,,8.65,170.0,Near Mint,8.65,1.0,$8.65,2025-10-10T00:00:00.000Z,7.09,1.0,$7.09,2025-10-10T16:43:05.461Z,78.0,78.0,,2025-10-10T16:43:05.461Z,False,,,,,,,,7.46,1.0,$7.46,,,,2025-10-10T16:43:05.461Z,78.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,68af838dc4f780b5153e6ac3,523801,68af37245bce97006df9f269,Paradox Rift,Steelix - 125/182,125.0,182.0,Rare,Metal,180.0,Stage 1,4.0,,https://www.tcgplayer.com/product/523801/pokemon-sv04-paradox-rift-steelix---125-182,https://tcgplayer-cdn.tcgplayer.com/product/523801_in_600x600.jpg,False,100,2025-10-10T00:38:57.383Z,2025-08-27T22:15:41.827Z,2025-10-10T00:38:57.425Z,Rx,2.0,G,,0.2,1376.0,Near Mint,0.2,1.0,$0.20,2025-10-10T00:00:00.000Z,0.13,1.0,$0.13,2025-10-10T00:38:57.277Z,78.0,78.0,,2025-10-10T00:38:57.277Z,False,0.1,1.0,$0.10,,,,,0.1,1.0,$0.10,,,,,,,,0.1,1.0,$0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,68af83ffc4f780b5153e7396,497610,68af47bf190c4823de252773,Paldea Evolved,Quaxwell - 207/193,207.0,193.0,Illustration Rare,Water,90.0,Stage 1,1.0,,https://www.tcgplayer.com/product/497610/pokemon-sv02-paldea-evolved-quaxwell---207-193,https://tcgplayer-cdn.tcgplayer.com/product/497610_in_600x600.jpg,False,100,2025-10-05T11:02:03.691Z,2025-08-27T22:17:35.740Z,2025-10-11T04:12:37.501Z,Lx,2.0,,,4.59,155.0,Near Mint,4.59,1.0,$4.59,2025-10-05T00:00:00.000Z,3.31,1.0,$3.31,2025-10-05T11:02:03.545Z,78.0,78.0,,2025-10-05T11:02:03.545Z,False,,,,,,,,2.88,1.0,$2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,68af81d2c4f780b5153e58e6,610356,68af371e5bce97006df9f24b,Prismatic Evolutions,Exeggcute,1.0,131.0,Common,Grass,60.0,Basic,1.0,,https://www.tcgplayer.com/product/610356/pokemon-sv-prismatic-evolutions-exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/610356_in_600x600.jpg,False,100,2025-10-22T11:46:05.263Z,2025-08-27T22:08:18.871Z,2025-10-22T11:46:05.340Z,Rx,2.0,,,0.08,,Near Mint,0.08,71.0,$0.08,,0.07,2.0,$0.07,,,,,2025-10-22T11:46:05.263Z,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,90.0,$0.08,0.07,2.0,$0.07,0.07,5.0,$0.07,0.08,71.0,$0.08,,,,,,,,,,,,,,,,,,
7,68af81e0c4f780b5153e5cd3,610523,68af371e5bce97006df9f24b,Prismatic Evolutions,Bloodmoon Ursaluna ex,168.0,131.0,Special Illustration Rare,Colorless,260.0,Basic,3.0,,https://www.tcgplayer.com/product/610523/pokemon-sv-prismatic-evolutions-bloodmoon-ursaluna-ex,https://tcgplayer-cdn.tcgplayer.com/product/610523_in_600x600.jpg,False,100,2025-10-22T11:48:55.879Z,2025-08-27T22:08:32.108Z,2025-10-22T11:48:55.952Z,Fx,2.0,,,70.18,,Near Mint,70.18,246.0,$70.18,,80.88,31.0,$80.88,,,,,2025-10-22T11:48:55.879Z,False,,,,,,,,81.47,2.0,$81.47,,,,,,,,,,,,,,,70.18,246.0,$70.18,80.88,31.0,$80.88,81.47,2.0,$81.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,68b2ea18b594c9577ba43673,534190,68af37235bce97006df9f263,Paldean Fates,Houndstone - 043/091,43.0,91.0,Rare,Psychic,140.0,Stage 1,3.0,,https://www.tcgplayer.com/product/534190/pokemon-sv-paldean-fates-houndstone---043-091,https://tcgplayer-cdn.tcgplayer.com/product/534190_in_600x600.jpg,False,100,2025-10-09T17:44:28.627Z,2025-08-30T12:10:00.967Z,2025-10-09T17:44:28.671Z,Dx,2.0,F,,0.07,1585.0,Near Mint,0.07,1.0,$0.07,2025-10-09T00:00:00.000Z,0.12,1.0,$0.12,2025-10-09T17:44:28.510Z,78.0,78.0,,2025-10-09T17:44:28.510Z,False,0.06,1.0,$0.06,,,,,0.06,1.0,$0.06,,,,,,,,0.06,1.0,$0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,68b2ea17b594c9577ba435e6,534452,68af37235bce97006df9f263,Paldean Fates,Technical Machine: Crisis Punch,90.0,91.0,Uncommon,Trainer - Pokémon Tool,,,,,https://www.tcgplayer.com/product/534452/pokemon-sv-paldean-fates-technical-machine-crisis-punch,https://tcgplayer-cdn.tcgplayer.com/product/534452_in_600x600.jpg,False,100,2025-10-09T12:06:35.992Z,2025-08-30T12:09:59.153Z,2025-10-09T12:06:36.037Z,,,,,0.03,2041.0,Near Mint,0.03,1.0,$0.03,2025-10-09T00:00:00.000Z,0.1,1.0,$0.10,2025-10-09T12:06:35.856Z,78.0,78.0,,2025-10-09T12:06:35.856Z,False,0.01,1.0,$0.01,,,,,0.01,1.0,$0.01,,,,,,,,0.01,1.0,$0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
